url	first_seen	portal	title	company	status
https://www.iimjobs.com/j/senior-manager-hr-business-partner-1692032	2026-05-04	iimjobs — HRBP Senior	Senior Manager - HR Business Partner	iimjobs	added
https://www.iimjobs.com/j/senior-manager-hr-business-partner-lead-and-learning-and-development-1690663	2026-05-04	iimjobs — HRBP Senior	Senior Manager - HR Business Partner Lead & Learning and Development	iimjobs	added
https://www.iimjobs.com/j/senior-hrbp-manager-1689819	2026-05-04	iimjobs — HRBP Senior	Senior HRBP Manager	iimjobs	added
https://www.iimjobs.com/j/senior-hr-business-partner-1685354	2026-05-04	iimjobs — HRBP Senior	Senior HR Business Partner	iimjobs	added
https://www.iimjobs.com/j/senior-hr-business-partner-it-1691169	2026-05-04	iimjobs — HRBP Senior	Senior HR Business Partner - IT	iimjobs	added
https://www.iimjobs.com/j/human-resources-business-partner-global-services-1691855	2026-05-04	iimjobs — HRBP Senior	Human Resources Business Partner - Global Services	iimjobs	added
https://www.iimjobs.com/j/elgi-lead-hr-business-partner-1687383	2026-05-04	iimjobs — HRBP Senior	Lead - HR Business Partner	ELGi	added
https://www.iimjobs.com/j/lead-hr-business-partner-1689107	2026-05-04	iimjobs — HRBP Senior	Lead - HR Business Partner	iimjobs	added
https://www.iimjobs.com/j/manager-human-resources-1692621	2026-05-04	iimjobs — HR Manager / People Partner	Manager - Human Resources	iimjobs	added
https://www.iimjobs.com/j/manager-human-resources-gcc-1648020	2026-05-04	iimjobs — HR Manager / People Partner	Manager - Human Resources - GCC	iimjobs	added
https://www.iimjobs.com/j/head-human-resource-technology-services-1690975	2026-05-04	iimjobs — AI Native HR / HR Tech	Head - Human Resource - Technology Services	iimjobs	added
https://www.iimjobs.com/j/senior-hr-leader-it-1689163	2026-05-04	iimjobs — AI Native HR / HR Tech	Senior HR Leader - IT	iimjobs	added
https://www.iimjobs.com/j/head-human-resources-agritech-12-15-yrs-1678064	2026-05-04	iimjobs — HR Manager / People Partner	Head - Human Resources - Agritech	iimjobs	skipped_title
https://www.iimjobs.com/j/manager-human-resource-manufacturing-plant-1689967	2026-05-04	iimjobs — HR Manager / People Partner	Manager - Human Resource - Manufacturing Plant	iimjobs	skipped_title
https://www.iimjobs.com/j/unit-hr-manager-manufacturing-1682046	2026-05-04	iimjobs — HR Manager / People Partner	Unit HR Manager - Manufacturing	iimjobs	skipped_title
https://www.instahyre.com/job-293187-human-resource-business-partner-hrbp-at-evolute-fintech-innovations-mumbai/	2026-05-04	Instahyre — Senior HR India	Human Resource Business Partner (HRBP)	Evolute Fintech Innovations	added
https://www.instahyre.com/job-348295-human-resource-business-partner-at-highradius-hyderabad/	2026-05-04	Instahyre — Senior HR India	Human Resource Business Partner	Highradius	added
https://www.instahyre.com/job-316614-human-resource-business-partner-at-gokwik-bangalore-gurgaon/	2026-05-04	Instahyre — Senior HR India	Human Resource Business Partner	GoKwik	added
https://www.instahyre.com/job-144610-sr-hrbp-at-greyorange-2-gurgaon/	2026-05-04	Instahyre — Senior HR India	Sr. HRBP	GreyOrange	skipped_title
https://www.instahyre.com/job-227748-senior-hr-manager-at-tata-steel-jamshedpur/	2026-05-04	Instahyre — Senior HR India	Senior HR Manager	Tata Steel	skipped_title
https://job-boards.greenhouse.io/newrelic/jobs/4881334008	2026-05-04	HR Tech companies — People roles	HR Business Partner - Bangalore	New Relic	added
https://job-boards.greenhouse.io/turing/jobs/5749685004	2026-05-04	HR Tech companies — People roles	Senior HR Business Partner	Turing	added
https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4670343005	2026-05-04	Razorpay tracked	Manager, HRBP	Razorpay	added
https://job-boards.greenhouse.io/phonepe/jobs/7592479003	2026-05-04	PhonePe tracked	Regional HRBP - Offline Merchants	PhonePe	added
https://boards.greenhouse.io/phonepe/jobs/6063654003	2026-05-04	PhonePe tracked	HR Business Partner	PhonePe	added
https://boards.greenhouse.io/gitlab/jobs/6650189002	2026-05-04	GitLab tracked	People Business Partner (Sales)	GitLab	added
https://boards.greenhouse.io/gitlab/jobs/6283906002	2026-05-04	GitLab tracked	Senior People Business Partner	GitLab	added
https://job-boards.greenhouse.io/gleanwork/jobs/4599935005	2026-05-04	Greenhouse — HRBP / People roles	HR Business Partner	Glean	added
https://job-boards.greenhouse.io/faire/jobs/8431987002	2026-05-04	Greenhouse — HRBP / People roles	HR Business Partner	Faire	added
https://job-boards.greenhouse.io/lumos/jobs/7672901003	2026-05-04	Greenhouse — HRBP / People roles	Senior People Partner	Lumos	added
https://job-boards.greenhouse.io/shopltk/jobs/7710287003	2026-05-04	Greenhouse — HRBP / People roles	People Partner (HR Business Partner)	LTK	added
https://job-boards.greenhouse.io/natera/jobs/5822379004	2026-05-04	Greenhouse — HRBP / People roles	Lead HR Business Partner	Natera	added
https://job-boards.greenhouse.io/twilio/jobs/7575253	2026-05-04	HR Tech companies — People roles	Director, HR Business Partner (HRBP) - Global Operations	Twilio	added
https://job-boards.greenhouse.io/smartlyio/jobs/5800204004	2026-05-04	Greenhouse — HRBP / People roles	HR Business Partner	Smartly	added
https://job-boards.greenhouse.io/remotereferralboardinternaluseonly/jobs/7608764003	2026-05-04	HR Tech companies — People roles	People Partner	Remote.com	skipped_dup
https://jobs.ashbyhq.com/openai/1caa0788-bf4b-4d1a-8a36-c5a303c064cd	2026-05-04	Ashby — People Partner / HR roles	HRBP, APAC	OpenAI	added
https://jobs.ashbyhq.com/openai/5bff834a-8d76-40f3-b595-7795456b59df	2026-05-04	Ashby — People Partner / HR roles	HRBP EMEA	OpenAI	added
https://jobs.ashbyhq.com/openai/b345393f-fbf9-4dbe-8cde-c36529511639	2026-05-04	Ashby — People Partner / HR roles	Sr. HR Business Partner	OpenAI	added
https://jobs.ashbyhq.com/notion/5546e570-aa17-4e88-a877-f62d0d56f378	2026-05-04	Ashby — People Partner / HR roles	People Partner	Notion	added
https://jobs.ashbyhq.com/notion/079c054b-1157-45e9-81ea-3b772457fbc2	2026-05-04	Notion tracked	GTM People Partner Lead	Notion	added
https://jobs.ashbyhq.com/bjakcareer/a19b3e45-3692-4bbf-aee5-e19f3dfeae48	2026-05-04	Ashby — People Partner / HR roles	Head of People (Global)	Bjak	added
https://jobs.ashbyhq.com/bjakcareer/5bc24d80-4d53-4cd5-8a44-6a43771f529e	2026-05-04	Ashby — People Partner / HR roles	HR Business Partner (HRBP)	Bjak	added
https://jobs.ashbyhq.com/bjakcareer/23f1c06e-3afe-45f9-b4c4-43873f581582	2026-05-04	Ashby — People Partner / HR roles	Senior HR Business Partner	Bjak	added
https://jobs.ashbyhq.com/suno/821b10d2-2e2b-4d38-af6b-35d34a527664	2026-05-04	Ashby — People Partner / HR roles	Director, People Business Partners	Suno	added
https://jobs.ashbyhq.com/suno/69c5c8bb-bb5b-4cfd-93a6-8c8acf7bd1f4	2026-05-04	Ashby — People Partner / HR roles	Head of People	Suno	added
https://jobs.ashbyhq.com/harvey/4f1af2b7-249a-4a38-bf63-b9fa08266bfd	2026-05-04	Ashby — People Partner / HR roles	People Business Partner - Engineering, Product & Design	Harvey	added
https://jobs.ashbyhq.com/axion/ba3817f9-0690-4b58-985c-1cdadd42719d	2026-05-04	Ashby — People Partner / HR roles	Senior Human Resources Business Partner (HRBP)	Axion	added
https://jobs.ashbyhq.com/homebase/16820187-60dd-4606-a616-54be288a99d0	2026-05-04	Ashby — People Partner / HR roles	Human Resources Business Partner (HRBP) / HR Manager	Homebase	added
https://jobs.lever.co/pennylane/a09650d3-29e8-434f-ba2d-d09946d52d58	2026-05-04	Lever — HR / People roles	Human Resources Business Partner	Pennylane	added
https://jobs.lever.co/brooksrunning/a698b6bd-bf8a-4c66-8826-b04dffa285fb	2026-05-04	Lever — HR / People roles	Senior Human Resources Business Partner (HRBP)	Brooks Running	added
https://jobs.lever.co/extremenetworks/7d4cc9b2-096a-4d43-8823-1df00569b1df	2026-05-04	Lever — HR / People roles	Human Resources Business Partner (HRBP)	Extreme Networks	added
https://jobs.lever.co/includedhealth/e474b057-dba8-4ebc-b670-e6011777b45a	2026-05-04	Lever — HR / People roles	HR Business Partner	Included Health	added
https://jobs.lever.co/includedhealth/a8cd0ab8-abfd-40ed-9567-6060338f8ca8	2026-05-04	Lever — HR / People roles	Sr. HR Business Partner (Tech)	Included Health	added
https://jobs.lever.co/quantcast/beab5bdb-ac37-436f-a6fd-1d6d5da27e68	2026-05-04	Lever — HR / People roles	HR Business Partner	Quantcast	added
https://himalayas.app/companies/vendavo/jobs/human-resources-business-partner	2026-05-04	Himalayas — Remote HR / People roles	Human Resources Business Partner	Vendavo	added
https://himalayas.app/companies/dbt-labs/jobs/people-business-partner-director	2026-05-04	Himalayas — Remote HR / People roles	People Business Partner Director	dbt Labs	added
https://jobs.accel.com/companies/freshworks/jobs/44566500-hr-business-partner	2026-05-04	Freshworks tracked	HR Business Partner	Freshworks	added
